2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 06:22:38 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:22:55 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BCH/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:23:16 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT SmartMoneyConcepts R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:23:53 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble RIVER/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:23:57 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble TAO/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:24:39 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:26:48 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:27:28 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT SmartMoneyConcepts R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:28:11 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble TAO/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:28:27 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BZ/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:28:52 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:29:29 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AIOT/USDT PriceAction R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:30:27 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: ON/USDT InstitutionalBreakout R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
