2026-04-15 06:20 | SIGNAL | B/USDT SHORT | grade=? conf=45.9 | entry=0.1123-0.1160 sl=0.1246 tp1=0.1037 tp2=0.0800 | rr=3.25 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=22 vol=49 flow=53 deriv=38 sent=42 corr=60 → REJECTED(AGG_THRESHOLD score=45.9<60)
2026-04-15 06:20 | SIGNAL | 4/USDT SHORT | grade=? conf=31.0 | entry=0.0131-0.0135 sl=0.0153 tp1=0.0107 tp2=0.0101 | rr=1.61 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.61<2.00)
2026-04-15 06:20 | SIGNAL | RED/USDT SHORT | grade=? conf=30.0 | entry=0.1581-0.1601 sl=0.1791 tp1=0.1391 tp2=0.1341 | rr=1.25 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.25<2.00)
2026-04-15 06:20 | SIGNAL | TON/USDT SHORT | grade=? conf=25.4 | entry=1.3908-1.4001 sl=1.4272 tp1=1.3636 tp2=1.3587 | rr=1.15 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.15<2.00)
2026-04-15 06:20 | SIGNAL | CC/USDT LONG | grade=A conf=81.0 | entry=0.1529-0.1543 sl=0.1464 tp1=0.1608 tp2=0.1855 | rr=4.43 | strategy=PriceAction | regime=BULL_TREND | tech=93 vol=72 flow=63 deriv=60 sent=74 corr=60 → APPROVED
2026-04-15 06:21 | SIGNAL | XMR/USDT LONG | grade=? conf=65.1 | entry=335.2900-336.9441 sl=316.2197 tp1=360.8497 tp2=366.8189 | rr=1.54 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.54<2.00)
2026-04-15 06:21 | SIGNAL | PLUME/USDT SHORT | grade=? conf=39.0 | entry=0.0106-0.0108 sl=0.0115 tp1=0.0099 tp2=0.0091 | rr=1.97 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.97<2.00)
2026-04-15 06:21 | SIGNAL | 1000BONK/USDT SHORT | grade=? conf=37.8 | entry=0.0058-0.0059 sl=0.0061 tp1=0.0055 tp2=0.0054 | rr=1.55 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.55<2.00)
2026-04-15 06:21 | SIGNAL | XAN/USDT SHORT | grade=? conf=36.4 | entry=0.0099-0.0101 sl=0.0116 tp1=0.0083 tp2=0.0078 | rr=1.30 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:21 | SIGNAL | AIOT/USDT LONG | grade=? conf=56.6 | entry=0.0593-0.0621 sl=0.0492 tp1=0.0722 tp2=0.1289 | rr=5.94 | strategy=PriceAction | regime=BULL_TREND | tech=69 vol=57 flow=61 deriv=15 sent=65 corr=50 → REJECTED(AGG_THRESHOLD score=56.6<60)
2026-04-15 06:21 | SIGNAL | BEAT/USDT SHORT | grade=? conf=64.3 | entry=0.3557-0.3641 sl=0.3905 tp1=0.3294 tp2=0.2616 | rr=3.22 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(COMPONENT_FLOOR deriv=25 flow=35)
2026-04-15 06:21 | SIGNAL | INTC/USDT LONG | grade=? conf=50.0 | entry=64.1275-64.4500 sl=61.8032 tp1=66.7743 tp2=67.0190 | rr=1.10 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.10<2.00)
2026-04-15 06:21 | SIGNAL | OG/USDT SHORT | grade=? conf=37.8 | entry=2.9127-2.9642 sl=3.1164 tp1=2.7605 tp2=2.6143 | rr=1.82 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.82<2.00)
2026-04-15 06:21 | SIGNAL | D/USDT SHORT | grade=B conf=78.2 | entry=0.0104-0.0107 sl=0.0113 tp1=0.0080 tp2=0.0078 | rr=3.85 | strategy=WyckoffAccDist | regime=BULL_TREND | tech=63 vol=56 flow=55 deriv=100 sent=42 corr=60 → APPROVED
2026-04-15 06:21 | SIGNAL | HEMI/USDT SHORT | grade=? conf=53.0 | entry=0.0075-0.0077 sl=0.0084 tp1=0.0065 tp2=0.0056 | rr=2.52 | strategy=ElliottWave | regime=BULL_TREND | tech=45 vol=40 flow=60 deriv=48 sent=42 corr=60 → REJECTED(AGG_THRESHOLD score=53.0<60)
2026-04-15 06:21 | SIGNAL | PIPPIN/USDT SHORT | grade=? conf=51.6 | entry=0.0252-0.0258 sl=0.0277 tp1=0.0233 tp2=0.0227 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:21 | SIGNAL | 龙虾/USDT SHORT | grade=? conf=36.8 | entry=0.0103-0.0106 sl=0.0119 tp1=0.0090 tp2=0.0078 | rr=1.81 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.81<2.00)
2026-04-15 06:21 | SIGNAL | ARB/USDT SHORT | grade=? conf=46.2 | entry=0.1123-0.1131 sl=0.1158 tp1=0.1096 tp2=0.1087 | rr=1.30 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:21 | SIGNAL | WLFI/USDT SHORT | grade=? conf=58.1 | entry=0.0800-0.0806 sl=0.0821 tp1=0.0785 tp2=0.0779 | rr=1.33 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.33<2.00)
2026-04-15 06:21 | SIGNAL | WET/USDT LONG | grade=? conf=56.3 | entry=0.1053-0.1091 sl=0.0924 tp1=0.1220 tp2=0.1264 | rr=1.30 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:21 | SIGNAL | LDO/USDT LONG | grade=? conf=57.9 | entry=0.3423-0.3454 sl=0.3005 tp1=0.3952 tp2=0.5070 | rr=3.76 | strategy=ElliottWave | regime=BULL_TREND | tech=65 vol=41 flow=70 deriv=48 sent=74 corr=50 → REJECTED(AGG_THRESHOLD score=57.9<60)
2026-04-15 06:21 | SIGNAL | HOOD/USDT SHORT | grade=? conf=52.8 | entry=81.9566-82.4717 sl=84.2856 tp1=77.6326 tp2=76.1950 | rr=2.91 | strategy=PriceAction | regime=BULL_TREND | tech=44 vol=51 flow=45 deriv=58 sent=42 corr=60 → REJECTED(AGG_THRESHOLD score=52.8<60)
