2026-04-19 15:45:11 | WARNING  | signals.stablecoin_depeg            | stablecoin_depeg.py:183 | 💵 Stablecoin USDT: INIT → HEALTHY | price=1.0010 
2026-04-19 15:45:28 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: LIGHT/USDT PriceAction R/R=7.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:45:36 | WARNING  | utils.free_llm                      | free_llm.py:73 | FreeLLM openai attempt 1: empty content (finish_reason=length)
2026-04-19 15:45:38 | WARNING  | utils.free_llm                      | free_llm.py:73 | FreeLLM openai attempt 2: empty content (finish_reason=length)
2026-04-19 15:45:38 | ERROR    | utils.free_llm                      | free_llm.py:149 | FreeLLM complete failure for model=openai -- all attempts exhausted
2026-04-19 15:46:04 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GUA/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:46:30 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ARKM/USDT SmartMoneyConcepts R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:46:30 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GRIFFAIN/USDT SmartMoneyConcepts R/R=7.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:46:44 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble LTC/USDT SUPPRESS: score=-3.6 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:46:46 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble CRV/USDT SUPPRESS: score=-3.6 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:46:48 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: DEXE/USDT SmartMoneyConcepts R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:47:03 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble TRUMP/USDT SUPPRESS: score=-3.6 sup=1 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, onchain, whale_intent, mining_health)
2026-04-19 15:47:06 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 15:47:19 | WARNING  | core.health_monitor                 | health_monitor.py:279 | 📊 OHLCV QUALITY FAIL | GENIUS/USDT/4h: only 22 candles (min 50)
2026-04-19 15:47:25 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=8.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
