2026-04-21 06:54 | SIGNAL | BTC/USDT LONG | grade=? conf=81.9 | entry=75462.8000-75746.2206 sl=73790.0021 tp1=77419.0186 tp2=77963.3710 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:54 | SIGNAL | ETH/USDT LONG | grade=? conf=93.8 | entry=2304.2000-2315.9195 sl=2254.6183 tp1=2365.5012 tp2=2382.1336 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:54 | SIGNAL | SOL/USDT LONG | grade=? conf=82.7 | entry=85.4833-85.8933 sl=83.6318 tp1=87.7448 tp2=88.3618 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:54 | SIGNAL | CL/USDT LONG | grade=? conf=67.5 | entry=86.3873-86.8753 sl=84.5522 tp1=88.7105 tp2=90.4778 | rr=1.85 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.85<2.00)
2026-04-21 06:54 | SIGNAL | HYPE/USDT LONG | grade=? conf=60.3 | entry=40.0763-40.3634 sl=36.8996 tp1=44.8704 tp2=45.8643 | rr=1.70 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.70<2.00)
2026-04-21 06:54 | SIGNAL | DOGE/USDT LONG | grade=? conf=85.5 | entry=0.0952-0.0957 sl=0.0932 tp1=0.0978 tp2=0.0984 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:54 | SIGNAL | PIEVERSE/USDT LONG | grade=? conf=50.7 | entry=1.0305-1.0916 sl=0.8631 tp1=1.4879 tp2=2.2486 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=39 vol=49 flow=51 deriv=40 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=50.7<60)
2026-04-21 06:54 | SIGNAL | XRP/USDT LONG | grade=C conf=62.3 | entry=1.4344-1.4410 sl=1.4032 tp1=1.4989 tp2=1.5091 | rr=2.07 | strategy=PriceAction | regime=BULL_TREND | tech=71 vol=61 flow=47 deriv=30 sent=56 corr=50 → APPROVED
2026-04-21 06:54 | SIGNAL | ZEC/USDT LONG | grade=? conf=77.2 | entry=316.5781-319.6439 sl=305.9872 tp1=330.2347 tp2=341.3885 | rr=1.92 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.92<2.00)
2026-04-21 06:55 | SIGNAL | BASED/USDT SHORT | grade=? conf=36.0 | entry=0.1368-0.1428 sl=0.1698 tp1=0.1098 tp2=0.1008 | rr=1.30 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:55 | SIGNAL | AAVE/USDT SHORT | grade=? conf=36.0 | entry=93.1451-94.4200 sl=97.3192 tp1=89.6445 tp2=88.5837 | rr=1.47 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.47<2.00)
2026-04-21 06:55 | SIGNAL | 1000PEPE/USDT LONG | grade=? conf=85.8 | entry=0.0038-0.0038 sl=0.0037 tp1=0.0039 tp2=0.0039 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:55 | SIGNAL | BNB/USDT LONG | grade=? conf=40.1 | entry=632.1422-634.1455 sl=617.9484 tp1=648.6521 tp2=653.2019 | rr=1.32 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.32<2.00)
